"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1061023810678657658","凯达美瞳 隐形近视眼镜盒自动清洗器 手动自动usb电动清洗机可爱","16.80","1","YJ-KD005red","颜色分类：透明粉/电池款","null","null","买家已付款，等待卖家发货","YJ-KD005red"
="1061018722549201587","美瞳年抛女小直径半年抛隐形眼镜韩国正品大牌桥本环奈同款鹿屿棕","119.00","1","YJ-JD029brown600D","颜色分类：鹿屿棕14.0年抛【桥本环奈同款】收藏加购买1副送1副;度数：600","null","null","买家已付款，等待卖家发货","YJ-JD029brown600D"
="1060453952628678225","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-BSL034","颜色分类：120ml","null","null","买家已付款，等待卖家发货","YJ-BSL034"
="1061154499042622286","美瞳年抛女小直径半年抛隐形眼镜韩国正品大牌桥本环奈同款鹿屿棕","119.00","1","YJ-JD029brown100D","颜色分类：鹿屿棕14.0年抛【桥本环奈同款】收藏加购买1副送1副;度数：100","null","null","买家已付款，等待卖家发货","YJ-JD029brown100D"
="1061002914921850836","韩国进口半年抛美瞳年抛女小直径14.5大牌彩色隐形眼镜正品官网","188.00","1","YJ-JD027black150D","颜色分类：14.0奥德利黑糖黑 【日常百搭】收藏+加购买1副送1副;度数：150","null","null","买家已付款，等待卖家发货","YJ-JD027black150D"
="1061147267248475126","路迪 地红霉素肠溶胶囊 0.25g*6粒/盒yp","15.60","2","1015553","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1015553"
="1060954625688023560","男士学生美瞳年抛大 小直径自然混血彩色隐形近视眼镜半年抛2","280.00","1","YJ-JD019qbrown350D","颜色分类：柔光棕-年抛【收藏加购买一送二】;度数：350","null","null","买家已付款，等待卖家发货","YJ-JD019qbrown350D"
="1060954625688023560","男士学生美瞳年抛大 小直径自然混血彩色隐形近视眼镜半年抛2","280.00","1","YJ-JD005Black350D","颜色分类：小黑环-年抛【收藏加购买一送二】;度数：350","null","null","买家已付款，等待卖家发货","YJ-JD005Black350D"
="1060944993913497544","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-ZH020","颜色分类：120ml*2","null","null","买家已付款，等待卖家发货","YJ-ZH020"
="1060973986825268809","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC014brown325D","颜色分类：绯丽棕（没有文案买的就对了系列  你品 你细品）;度数：325","null","null","买家已付款，等待卖家发货","YJ-HC014brown325D"
="1060973986825268809","隐形眼镜盒便携双联近视可爱女伴侣盒简约清新收纳美瞳盒子网红款","35.80","1","YJ-KD037black","颜色分类：黑色","null","null","买家已付款，等待卖家发货","YJ-KD037black"
="1060973986825268809","海俪恩 隐形近视眼镜 半年抛隐型眼境1片装超薄 透明","60.00","2","YJ-HC084Trans325D","度数：325","null","null","买家已付款，等待卖家发货","YJ-HC084Trans325D"
="1061099587566270541","虹膜美瞳半年抛小直径13.8mm自然正品大牌年抛女隐形眼镜仿生瞳棕","188.00","1","YJ-JD022brown450D","颜色分类：虹膜棕（透亮的棕色秋冬 搭配淡妆，显白提气质！）;度数：450","null","null","买家已付款，等待卖家发货","YJ-JD022brown450D"
="1060390688865259014","小黑环美瞳小直径13.8mm自然半年抛盒彩色隐形近视眼镜棕色年抛女","118.00","1","YJ-JD005Black100D","颜色分类：小黑环（年抛）;度数：100","null","null","买家已付款，等待卖家发货","YJ-JD005Black100D"
="605071692600709205","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC001COCO100D","颜色分类：萤之光淡可可棕（ 浅棕色，自然改变瞳色 清澈透明质感）;度数：100","null","null","买家已付款，等待卖家发货","YJ-HC001COCO100D"
="1060948290516120936","海昌隐形近视眼镜护理液60ml*2美瞳清洗液500+120小瓶装便携保湿","26.80","1","YJ-ZH022","颜色分类：海昌营养视护能120*2（有效期2021年3月）","null","null","买家已付款，等待卖家发货","YJ-ZH022"
="1061071843593253380","人体润滑油液剂夫妻房事阴道水溶性男用私处免洗情趣爽滑性用品BQ","198.00","1","HTLH004","颜色分类：第二瓶半价【发两瓶】型号下单备注或联系客服","null","null","买家已付款，等待卖家发货","HTLH004"
="605070700139619705","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-BSL034","颜色分类：120ml","null","null","买家已付款，等待卖家发货","YJ-BSL034"
="1060364544551518269","人体润滑油液剂夫妻房事阴道水溶性男用私处免洗情趣爽滑性用品BQ","198.00","1","HTLH001","颜色分类：芦荟爽滑型【店长推荐】+礼品+保密发货","null","null","买家已付款，等待卖家发货","HTLH001"
="1060894721136662816","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-BSL034","颜色分类：120ml","null","null","买家已付款，等待卖家发货","YJ-BSL034"
="1060363136294505115","隐形眼镜盒便携双联近视可爱女伴侣盒简约清新收纳美瞳盒子网红款","35.80","1","YJ-KD037blue","颜色分类：蓝色","null","null","买家已付款，等待卖家发货","YJ-KD037blue"
="596291941290342097","卫康美瞳清洗液除蛋白近视隐形眼镜护理液80ml*4小瓶装便携保湿","80.00","1","YJ-ZH016","null","null","null","买家已付款，等待卖家发货","YJ-ZH016"
="596291941290342097","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Gray750D","颜色分类：萤之光灰（通勤素颜款提亮双眼更加无辜 ）;度数：750","null","null","买家已付款，等待卖家发货","YJ-HC001Gray750D"
="596291941290342097","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Gray800D","颜色分类：萤之光灰（通勤素颜款提亮双眼更加无辜 ）;度数：800","null","null","买家已付款，等待卖家发货","YJ-HC001Gray800D"
="1060885153036995742","护佑 脉络通胶囊 0.42g*12粒/盒 益气活血，化瘀止痛。适用于胸痹引起的心胸疼痛 胸闷气短 头痛眩晕及冠心病 ","45.00","2","1046104","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1046104"
="1061048131755158732","进口pjur阴道润滑油剂液人体夫妻房事女水溶性情趣免洗私处精油BQ","516.00","1","HTPJUR001","颜色分类：绿色瓶_滋润型100ml+礼品","null","null","买家已付款，等待卖家发货","HTPJUR001"
="1060899202688454520","2片雾黎美瞳年抛女小直径自然acelens隐形眼镜半年抛官网正品大牌","188.00","1","YJ-JD029brown700D","颜色分类：鹿光棕【acelens同款招牌花色】;度数：700","null","null","买家已付款，等待卖家发货","YJ-JD029brown700D"
="1060864225619026332","人体润滑油液剂夫妻房事阴道水溶性男用私处免洗情趣爽滑性用品BQ","198.00","1","HTLH001","颜色分类：芦荟爽滑型【店长推荐】+礼品+保密发货","null","null","买家已付款，等待卖家发货","HTLH001"
="1061035011494330146","进口pjur阴道润滑油剂液人体夫妻房事女水溶性情趣免洗私处精油BQ","516.00","1","HTPJUR001","颜色分类：绿色瓶_滋润型100ml+礼品","null","null","买家已付款，等待卖家发货","HTPJUR001"
="1060882114265045259","男士学生美瞳年抛大 小直径自然混血彩色隐形近视眼镜半年抛2","280.00","1","YJ-JD005Black275D","颜色分类：小黑环-年抛【收藏加购买一送二】;度数：275","null","null","买家已付款，等待卖家发货","YJ-JD005Black275D"
="1060847937320468125","海昌隐形近视眼镜护理液60ml*2美瞳清洗液500+120小瓶装便携保湿","26.80","1","YJ-ZH022","颜色分类：海昌营养视护能120*2（有效期2021年3月）","null","null","买家已付款，等待卖家发货","YJ-ZH022"
="596289541066099195","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC001Brown375D","颜色分类：萤之光可棕（ 日常通勤必备的百搭瞳）;度数：375","null","null","买家已付款，等待卖家发货","YJ-HC001Brown375D"
="1060298144858700936","男士学生美瞳年抛大 小直径自然混血彩色隐形近视眼镜半年抛2","280.00","1","YJ-JD017blue225D","颜色分类：香蜜蓝-年抛【收藏加购买一送二】;度数：225","null","null","买家已付款，等待卖家发货","YJ-JD017blue225D"
="1060825537917043471","卫康新视美瞳清洗液近视隐形眼镜护理液80ml*2小瓶旅行装便携包邮","40.00","1","YJ-ZH001","null","null","null","买家已付款，等待卖家发货","YJ-ZH001"
="1060996579092215618","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC001Brown700D","颜色分类：萤之光可棕（ 日常通勤必备的百搭瞳）;度数：700","null","null","买家已付款，等待卖家发货","YJ-HC001Brown700D"
="1060285312874193325","小地球美瞳peachcon同款半年抛大直径混血欧美彩色隐形眼镜年抛女","180.00","1","YJ-JD031green0D","颜色分类：小地球14.2mm火遍全网断货王;度数：0","null","null","买家已付款，等待卖家发货","YJ-JD031green0D"
="1060841890750894877","韩国进口半年抛美瞳年抛女小直径14.5大牌彩色隐形眼镜正品官网","188.00","1","YJ-NO002grey475D","颜色分类：14.2黎笙墨灰【韩国进口】收藏+加购买1副送1副;度数：475","null","null","买家已付款，等待卖家发货","YJ-NO002grey475D"
="1060840194633715189","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-BSL034","颜色分类：120ml","null","null","买家已付款，等待卖家发货","YJ-BSL034"
="605217870308871503","凯达美瞳 隐形近视眼镜盒自动清洗器 手动自动usb电动清洗机可爱","16.80","1","YJ-KD005red","颜色分类：透明粉/电池款","null","null","买家已付款，等待卖家发货","YJ-KD005red"
="1060278880257568407","日本rich美瞳日抛30片装网红款混血隐形眼镜大 小直径envie梨花女","654.00","1","YJ-RS001grey150D","颜色分类：泪眼灰（日本S天Top款）;度数：150","null","null","买家已付款，等待卖家发货","YJ-RS001grey150D"
="1060970275983442252","男士学生美瞳年抛大 小直径自然混血彩色隐形近视眼镜半年抛2","280.00","1","YJ-JD017black275D","颜色分类：香蜜黑-年抛【收藏加购买一送二】;度数：275","null","null","买家已付款，等待卖家发货","YJ-JD017black275D"
="1060796833113588192","凯达美瞳 隐形近视眼镜盒自动清洗器 手动自动usb电动清洗机可爱","16.80","1","YJ-KD005red","颜色分类：透明粉/电池款","null","null","买家已付款，等待卖家发货","YJ-KD005red"
="604980397848060003","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Brown400D","颜色分类：萤之光可棕（ 日常通勤必备的百搭瞳）;度数：400","null","null","买家已付款，等待卖家发货","YJ-HC001Brown400D"
="604980397848060003","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Gray525D","颜色分类：萤之光灰（通勤素颜款提亮双眼更加无辜 ）;度数：525","null","null","买家已付款，等待卖家发货","YJ-HC001Gray525D"
="1060254208720025037","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC004brown425D","颜色分类：心跳棕-春夏新款（深瞳妹子秒变瞳色 融瞳效果满分）;度数：425","null","null","买家已付款，等待卖家发货","YJ-HC004brown425D"
="1060254208720025037","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC004brown450D","颜色分类：心跳棕-春夏新款（深瞳妹子秒变瞳色 融瞳效果满分）;度数：450","null","null","买家已付款，等待卖家发货","YJ-HC004brown450D"
="1060954339394539152","海昌隐形近视眼镜护理液60ml*2美瞳清洗液500+120小瓶装便携保湿","16.80","1","YJ-ZH003","颜色分类：海昌spa60ml*2","null","null","买家已付款，等待卖家发货","YJ-ZH003"
="1060246112699708129","海昌隐形近视眼镜护理液60ml*2美瞳清洗液500+120小瓶装便携保湿","16.80","1","YJ-ZH003","颜色分类：海昌spa60ml*2","null","null","买家已付款，等待卖家发货","YJ-ZH003"
="1060772705198203648","海俪恩 隐形近视眼镜 半年抛隐型眼境1片装超薄 透明","60.00","2","YJ-HC084Trans275D","度数：275","null","null","买家已付款，等待卖家发货","YJ-HC084Trans275D"
="1060796194964495124","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-ZH020","颜色分类：120ml*2","null","null","买家已付款，等待卖家发货","YJ-ZH020"
="1060235200778674319","卫康美瞳清洗液除蛋白近视隐形眼镜护理液80ml*4小瓶装便携保湿","80.00","1","YJ-ZH016","null","null","null","买家已付款，等待卖家发货","YJ-ZH016"
="1060795970419423560","海俪恩隐形眼镜森呼吸多效护理液大小瓶500+120ml美瞳保湿除蛋白","68.00","1","YJ-HC087","null","null","null","买家已付款，等待卖家发货","YJ-HC087"
="1060792610988402449","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC014brown200D","颜色分类：绯丽棕（没有文案买的就对了系列  你品 你细品）;度数：200","null","null","买家已付款，等待卖家发货","YJ-HC014brown200D"
="1060759553695365162","男士学生美瞳年抛大 小直径自然混血彩色隐形近视眼镜半年抛2","280.00","1","YJ-JD026brown250D","颜色分类：咖啡棕-年抛【收藏加购买一送二】;度数：250","null","null","买家已付款，等待卖家发货","YJ-JD026brown250D"
="1060759553695365162","博士伦 美瞳隐形近视眼镜护理液  润明500ml 清洗液免揉搓 除蛋白","80.00","1","YJ-BSL021","null","null","null","买家已付款，等待卖家发货","YJ-BSL021"
="1060229376629672318","凯达美瞳 隐形近视眼镜盒自动清洗器 手动自动usb电动清洗机可爱","18.80","1","YJ-KD006pink","颜色分类：青蛙粉色/电池款","null","null","买家已付款，等待卖家发货","YJ-KD006pink"
="1060930563027423560","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Blue350D","颜色分类：萤之光蓝（猫猫眼效果）;度数：350","null","null","买家已付款，等待卖家发货","YJ-HC001Blue350D"
="1060930563027423560","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Blue275D","颜色分类：萤之光蓝（猫猫眼效果）;度数：275","null","null","买家已付款，等待卖家发货","YJ-HC001Blue275D"
="1060747041845554327","诺捷康 罗红霉素胶囊 75mg*12粒/盒咽炎 扁桃体炎 鼻窦炎 中耳炎 急性支气管炎 慢性支气管炎 肺炎 尿道炎和","2.00","1","1015534","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1015534"
="1060748449500494328","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-ZH020","颜色分类：120ml*2","null","null","买家已付款，等待卖家发货","YJ-ZH020"
="1060918339156190855","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-ZH020","颜色分类：120ml*2","null","null","买家已付款，等待卖家发货","YJ-ZH020"
="1060899075737550050","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC014balck550D","颜色分类：清新黑（值得无限回购的一款）;度数：550","null","null","买家已付款，等待卖家发货","YJ-HC014balck550D"
="1060724929784043913","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC001Black0D","颜色分类：萤之光黑（斩男神器 初恋般清澈少女瞳）;度数：0","null","null","买家已付款，等待卖家发货","YJ-HC001Black0D"
="1060748290416117527","韩国进口半年抛美瞳年抛女小直径14.5大牌彩色隐形眼镜正品官网","188.00","1","YJ-JD027black0D","颜色分类：14.0奥德利黑糖黑 【日常百搭】收藏+加购买1副送1副;度数：0","null","null","买家已付款，等待卖家发货","YJ-JD027black0D"
="1060737538491876987","韩国进口半年抛美瞳年抛女小直径14.5大牌彩色隐形眼镜正品官网","188.00","1","YJ-JD027brown275D","颜色分类：14.0月兔色 【温柔减龄】收藏+加购买1副送1副;度数：275","null","null","买家已付款，等待卖家发货","YJ-JD027brown275D"
="1060737538491876987","海俪恩隐形眼镜森呼吸多效护理液大小瓶500+120ml美瞳保湿除蛋白","68.00","1","YJ-HC087","null","null","null","买家已付款，等待卖家发货","YJ-HC087"
="1060861251626990725","海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC014balck800D","颜色分类：清新黑（值得无限回购的一款）;度数：800","null","null","买家已付款，等待卖家发货","YJ-HC014balck800D"
="1060856995600698527","2片雾黎美瞳年抛女小直径自然acelens隐形眼镜半年抛官网正品大牌","188.00","1","YJ-JD022brown275D","颜色分类：金粉奶奶・棕【约会必备】;度数：275","null","null","买家已付款，等待卖家发货","YJ-JD022brown275D"
="1060681857585258979","海昌隐形近视眼镜护理液60ml*2美瞳清洗液500+120小瓶装便携保湿","16.80","1","YJ-ZH003","颜色分类：海昌spa60ml*2","null","null","买家已付款，等待卖家发货","YJ-ZH003"
="1060678433878167044","博士伦美瞳隐形近视眼镜护理液博乐纯清洗液60ml*2便携旅行体验装","118.00","1","YJ-ZH029","颜色分类：博乐纯60ml单瓶+清透120ml（赠）","null","null","买家已付款，等待卖家发货","YJ-ZH029"
="1060678433878167044","凯达隐形收纳双联多副装简约眼镜盒伴侣盒多宫格美瞳盒子小巧便携","35.00","1","YJ-KD039silver","颜色分类：四宫格（银色）","null","null","买家已付款，等待卖家发货","YJ-KD039silver"
="1060678433878167044","海昌SHE 润眼液5ml 美瞳眼境 隐形近视眼镜专用滴眼液 润滑液","15.00","2","YJ-HC012","null","null","null","买家已付款，等待卖家发货","YJ-HC012"
="1060851395127997622","凯达美瞳 隐形近视眼镜盒自动清洗器 手动自动usb电动清洗机可爱","18.80","1","YJ-KD006blue","颜色分类：青蛙蓝色/电池款","null","null","买家已付款，等待卖家发货","YJ-KD006blue"
="1060846915492164436","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-BSL034","颜色分类：120ml","null","null","交易关闭","YJ-BSL034"
="1060846915492164436","凯达美瞳 隐形近视眼镜盒自动清洗器 手动自动usb电动清洗机可爱","18.80","1","YJ-KD006greenQW","颜色分类：青蛙绿色/电池款","null","null","买家已付款，等待卖家发货","YJ-KD006greenQW"
="1060706018710237366","美瞳年抛女小直径半年抛隐形眼镜韩国正品大牌桥本环奈同款鹿屿棕","119.00","1","YJ-JD029brown0D","颜色分类：鹿屿棕14.0年抛【桥本环奈同款】收藏加购买1副送1副;度数：0","null","null","买家已付款，等待卖家发货","YJ-JD029brown0D"
="1060671361429133818","小黑环美瞳小直径13.8mm自然半年抛盒彩色隐形近视眼镜棕色年抛女","118.00","1","YJ-JD005Black175D","颜色分类：小黑环（年抛）;度数：175","null","null","买家已付款，等待卖家发货","YJ-JD005Black175D"
="596161668266869697","男士学生美瞳年抛大 小直径自然混血彩色隐形近视眼镜半年抛2","280.00","1","YJ-JD018grey300D","颜色分类：初晴灰-年抛【收藏加购买一送二】;度数：300","null","null","买家已付款，等待卖家发货","YJ-JD018grey300D"
="1060701922033989337","虹膜美瞳半年抛小直径13.8mm自然正品大牌年抛女隐形眼镜仿生瞳棕","188.00","1","YJ-JD022brown275D","颜色分类：虹膜棕（透亮的棕色秋冬 搭配淡妆，显白提气质！）;度数：275","null","null","买家已付款，等待卖家发货","YJ-JD022brown275D"
="1060128800712142018","男士学生美瞳年抛大 小直径自然混血彩色隐形近视眼镜半年抛2","280.00","1","YJ-JD019qbrown300D","颜色分类：柔光棕-年抛【收藏加购买一送二】;度数：300","null","null","买家已付款，等待卖家发货","YJ-JD019qbrown300D"
="1060824355925238847","2片雾黎美瞳年抛女小直径自然acelens隐形眼镜半年抛官网正品大牌","188.00","1","YJ-JD016blue0D","颜色分类：漆目蓝14.0【欧美混血】;度数：0","null","null","买家已付款，等待卖家发货","YJ-JD016blue0D"
="1060812483803227417","凯达美瞳 隐形近视眼镜盒自动清洗器 手动自动usb电动清洗机可爱","18.80","1","YJ-KD006greenQW","颜色分类：青蛙绿色/电池款","null","null","买家已付款，等待卖家发货","YJ-KD006greenQW"
="1060269825070095509","海俪恩 隐形近视眼镜 半年抛隐型眼境1片装超薄 透明","60.00","1","YJ-HC084Trans250D","度数：250","null","null","买家已付款，等待卖家发货","YJ-HC084Trans250D"
="1060114625026470343","通泰 强力天麻杜仲胶囊 0.4克*48粒/盒散风活血，舒筋止痛用于中风引起的筋脉掣痛，肢体麻木，行走不便，腰腿酸痛，","18.50","6","1015828","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1015828"
="1060041283067189718","诺灵盾 诺灵盾 盐酸洛美沙星胶囊 0.1g*12粒/盒呼吸道感染泌尿生殖系统感染胃肠道细菌感染腹腔胆道伤寒骨和关节感","3.40","1","1009065","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1009065"
="1059697954058429968","修正 丹七片 0.3g*30片/盒 活血化瘀 通脉止痛 用于淤血闭阻所致的胸痹心痛 眩晕头疼 经期腹痛yp","36.30","10","1086289","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1086289"
="1059622625758091744","诺灵盾 诺灵盾 盐酸洛美沙星胶囊 0.1g*12粒/盒呼吸道感染泌尿生殖系统感染胃肠道细菌感染腹腔胆道伤寒骨和关节感","3.40","3","1009065","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1009065"
="605148910592948700","美瞳年抛女小直径半年抛隐形眼镜韩国正品大牌桥本环奈同款鹿屿棕","119.00","1","YJ-JD029brown650D","颜色分类：鹿屿棕14.0年抛【桥本环奈同款】收藏加购买1副送1副;度数：650","null","null","买家已付款，等待卖家发货","YJ-JD029brown650D"
="1059513698235191316","修正 丹七片 0.3g*30片/盒 活血化瘀 通脉止痛 用于淤血闭阻所致的胸痹心痛 眩晕头疼 经期腹痛yp","36.30","10","1086289","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1086289"
="1058871712396247656","修正 丹七片 0.3g*30片/盒 活血化瘀 通脉止痛 用于淤血闭阻所致的胸痹心痛 眩晕头疼 经期腹痛yp","36.30","4","1086289","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1086289"
="1058750336803851780","修正 丹七片 0.3g*30片/盒 活血化瘀 通脉止痛 用于淤血闭阻所致的胸痹心痛 眩晕头疼 经期腹痛yp","36.30","10","1086289","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1086289"
="596192677775754394","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","1","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="605128303911937805","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","1","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1058430273328682892","寿堂 人工牛黄甲硝唑胶囊 12粒*2板/盒急性智齿冠周炎牙髓炎 根尖周炎yp","3.90","3","1006984","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1006984"
="1058013250973219685","甲红 人工牛黄甲硝唑胶囊 48粒/盒用于急性智齿冠周炎局部牙槽脓肿牙髓炎根尖周炎yp","8.30","1","1016331","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1016331"
="1057875521995465373","迪诺洛克 泮托拉唑钠肠溶胶囊 40mg*10粒/盒适用于活动性消化性溃疡反流性食管炎和卓艾氏综合症yp","12.50","3","1037205","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1037205"
="1057762370241621293","梦夫康 前列癃闭通片 0.52g*48片/盒 益气温阳活血利水用于肾虚血瘀所致癃闭症见尿频排尿延缓费力尿后余沥腰膝酸","18.60","4","1037300","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1037300"
="1057655714474152568","诺灵盾 诺灵盾 盐酸洛美沙星胶囊 0.1g*12粒/盒呼吸道感染泌尿生殖系统感染胃肠道细菌感染腹腔胆道伤寒骨和关节感","3.40","3","1009065","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1009065"
="1056893632672028839","迪诺洛克 泮托拉唑钠肠溶胶囊 40mg*10粒/盒适用于活动性消化性溃疡反流性食管炎和卓艾氏综合症yp","12.50","7","1037205","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1037205"
="1056922657107247584","爱芙丽隐形近视眼镜散光矫正定做半年抛1片装男女士定制片包邮","358.00","2","YJ-AFL003","度数：平光","null","null","买家已付款，等待卖家发货","YJ-AFL003"
="1054914915350695322","爱芙丽隐形近视眼镜散光矫正定做半年抛1片装男女士定制片包邮","358.00","2","YJ-AFL003","度数：平光","null","null","买家已付款，等待卖家发货","YJ-AFL003"
="824883106904375251","振德一次性使用医用口罩30只 粉色 防尘护理口罩透气家用抽取式YP","26.80","3","1061038","颜色分类：粉红色","null","null","买家已付款，等待卖家发货","1061038"
="2128878409857759","康美 玫瑰花茶干玫瑰10g 袋装","3.50","1","30301441","包装方式：袋装","null","null","买家已付款，等待卖家发货","30301441"
="2128878409857759","【4片减5元】海俪恩美瞳半年抛1片 大小直径混血彩色隐形近视眼镜","103.00","1","YJ-HC001Black350D","左右眼：左眼;颜色分类：萤之光黑;度数：350","null","null","交易成功","YJ-HC001Black350D"
="2128878409857759","【4片减5元】海俪恩美瞳半年抛1片 大小直径混血彩色隐形近视眼镜","103.00","1","YJ-HC001Black500D","左右眼：右眼;颜色分类：萤之光黑;度数：500","null","null","交易成功","YJ-HC001Black500D"
